,age,gender,occupation
1,2,9,29
2,5,8,23
3,2,9,30
4,2,9,29
5,3,8,23
6,4,9,16
7,5,9,10
8,3,9,10
9,2,9,28
10,5,9,19
11,3,8,23
12,2,8,23
13,4,9,13
14,4,9,27
15,4,8,13
16,2,9,15
17,3,9,24
18,3,8,23
19,4,9,20
20,4,8,18
21,2,9,30
22,2,9,30
23,3,8,11
24,2,8,11
25,3,9,14
26,4,9,14
27,4,8,20
28,3,9,30
29,4,9,24
30,0,9,28
31,2,9,11
32,2,8,28
33,2,9,28
34,3,8,10
35,2,8,18
36,1,8,28
37,2,9,28
38,2,8,23
39,4,9,15
40,3,9,27
41,3,9,14
42,3,9,10
43,2,8,20
44,2,9,29
45,2,9,24
46,2,8,21
47,5,9,21
48,4,9,10
49,2,8,28
50,2,9,30
51,2,9,13
52,1,8,28
53,2,9,24
54,2,9,16
55,3,9,24
56,2,9,20
57,1,9,22
58,2,9,24
59,4,9,13
60,5,9,17
61,3,9,14
62,2,8,10
63,3,9,21
64,3,9,13
65,5,8,13
66,2,9,28
67,1,9,28
68,1,9,28
69,2,9,14
70,2,9,14
71,3,9,27
72,4,8,10
73,2,9,28
74,3,9,27
75,2,9,15
76,2,9,28
77,3,9,29
78,2,9,10
79,3,8,10
80,3,8,10
81,2,9,28
82,5,9,24
83,4,9,23
84,3,9,16
85,5,9,13
86,2,9,10
87,4,9,10
88,4,8,20
89,4,8,10
90,6,9,13
91,5,9,21
92,3,9,15
93,4,9,16
94,2,9,28
95,3,9,10
96,2,8,11
97,4,9,11
98,4,8,16
99,2,9,28
100,3,9,16
101,1,9,28
102,3,9,24
103,2,9,28
104,2,9,28
105,2,9,14
106,6,9,25
107,3,9,27
108,4,9,13
109,2,9,23
110,1,9,28
111,5,9,14
112,3,9,26
113,4,9,16
114,2,9,24
115,3,9,14
116,4,9,17
117,2,9,28
118,2,9,10
119,3,9,24
120,4,8,23
121,5,9,20
122,3,8,30
123,4,8,11
124,3,9,28
125,3,9,19
126,2,8,19
127,3,9,22
128,2,8,21
129,3,8,21
130,2,9,22
131,5,8,10
132,2,9,23
133,5,9,14
134,3,9,24
135,2,9,28
136,5,9,23
137,5,9,13
138,4,9,12
139,2,9,28
140,3,8,28
141,4,9,24
142,1,9,23
143,4,9,29
144,5,9,24
145,3,9,15
146,4,9,11
147,4,8,20
148,3,9,14
149,3,8,21
150,2,8,11
151,3,8,10
152,3,8,13
153,2,9,28
154,2,9,28
155,3,8,23
156,2,9,13
157,5,9,14
158,5,9,13
159,2,8,28
160,2,9,24
161,5,9,19
162,2,9,11
163,4,9,10
164,4,9,17
165,2,8,23
166,4,9,13
167,3,9,23
168,4,9,23
169,5,8,23
170,5,8,17
171,4,8,13
172,5,9,21
173,5,9,23
174,3,8,10
175,2,8,27
176,2,9,27
177,2,9,24
178,2,9,23
179,1,9,15
180,2,8,10
181,2,9,16
182,3,9,24
183,3,9,27
184,3,9,20
185,5,8,20
186,3,8,16
187,2,9,13
188,4,9,28
189,3,9,11
190,3,9,10
191,3,9,10
192,4,9,13
193,2,9,28
194,3,9,10
195,4,9,27
196,4,9,30
197,5,9,29
198,2,8,28
199,3,9,30
200,4,9,24
201,2,9,30
202,4,8,13
203,2,8,28
204,5,8,20
205,4,9,19
206,1,8,28
207,3,9,21
208,4,9,14
209,3,8,13
210,3,9,14
211,6,9,26
212,4,8,13
213,3,9,16
214,2,8,20
215,3,9,24
216,2,9,14
217,2,9,23
218,3,9,10
219,3,9,24
