,user_id,item_id,rating
66567,1,55,5
62820,1,203,4
10207,1,183,5
9971,1,150,5
22496,1,68,4
9811,1,201,3
9722,1,157,4
9692,1,184,4
9566,1,210,4
9382,1,163,4
35409,1,271,2
22669,1,146,4
22845,1,176,5
35389,1,144,4
9307,1,53,3
334,1,160,4
333,1,33,4
9255,1,44,5
9224,1,97,3
9170,1,14,5
62649,1,263,1
62631,1,4,3
1780,1,17,3
820,1,265,4
56881,1,25,4
37820,1,37,2
57256,1,251,4
57423,1,195,5
11080,1,148,2
21152,1,179,3
37810,1,158,3
10922,1,242,5
58377,1,153,3
67079,1,42,5
59055,1,101,2
59972,1,168,5
10520,1,128,4
36878,1,26,3
60926,1,123,4
10508,1,208,5
10480,1,248,4
36844,1,119,5
21947,1,135,4
62069,1,191,5
21626,1,187,4
67098,1,139,3
22971,1,166,5
8976,1,12,5
1989,1,90,4
73972,1,43,4
6649,1,78,1
74577,1,165,5
74847,1,116,3
33909,1,197,5
75385,1,198,5
6567,1,81,5
6541,1,258,5
34026,1,173,5
1167,1,47,4
77073,1,124,5
6234,1,233,2
77238,1,95,4
6212,1,213,2
6028,1,96,5
77630,1,217,3
202,1,61,4
5909,1,185,4
78171,1,58,4
24547,1,63,2
11154,1,112,1
24493,1,30,3
6965,1,212,4
8844,1,262,3
8834,1,108,5
23028,1,138,1
8745,1,259,1
23095,1,247,1
8737,1,209,4
23128,1,89,5
305,1,189,3
8597,1,218,3
73358,1,149,2
23171,1,2,3
70539,1,7,4
7993,1,107,4
34642,1,34,2
34550,1,268,5
7561,1,175,5
34165,1,75,4
7180,1,51,4
7158,1,151,4
7101,1,143,1
70168,1,240,3
78695,1,142,2
20970,1,21,1
56312,1,48,5
15299,1,24,3
15292,1,267,4
15270,1,54,3
42456,1,169,5
14930,1,118,3
47521,1,192,4
47539,1,178,5
47638,1,5,3
14792,1,103,1
17988,1,243,1
47860,1,87,5
48078,1,238,4
48214,1,156,4
14425,1,255,2
41842,1,46,4
18304,1,154,5
18313,1,214,4
14079,1,130,3
14025,1,241,4
17863,1,226,3
17672,1,100,5
687,1,171,5
15638,1,86,5
17220,1,65,4
43859,1,66,4
16922,1,73,3
44074,1,77,4
16673,1,224,5
16590,1,23,4
43438,1,110,1
16455,1,36,2
16314,1,230,4
18695,1,161,4
43280,1,162,4
43263,1,41,2
17297,1,190,5
45483,1,199,4
16053,1,164,3
45732,1,57,5
45796,1,50,5
15932,1,39,4
15764,1,196,5
1440,1,113,5
639,1,202,5
49853,1,106,4
1382,1,253,5
13638,1,129,5
19996,1,170,5
20153,1,38,3
20175,1,9,5
53552,1,127,5
38751,1,257,4
12183,1,252,2
478,1,20,4
38697,1,136,3
54634,1,16,5
12457,1,200,3
12011,1,236,4
20470,1,246,5
11859,1,232,3
11807,1,219,1
55636,1,261,1
11663,1,264,2
38193,1,181,5
56067,1,45,5
1299,1,222,4
11321,1,193,4
55001,1,79,4
20952,1,22,4
12516,1,180,3
19722,1,69,3
40783,1,223,5
50026,1,167,2
50156,1,115,5
40756,1,71,3
1617,1,227,4
18796,1,62,3
13575,1,254,1
13542,1,10,3
40600,1,182,4
39296,1,237,2
50736,1,11,2
40519,1,109,5
13165,1,91,5
51295,1,35,1
13030,1,85,3
51616,1,137,5
19610,1,188,3
19699,1,102,2
12948,1,250,4
39865,1,131,1
50792,1,245,2
5842,1,72,4
17031,1,67,3
24896,1,249,4
3171,1,266,1
4306,1,272,3
4290,1,56,4
4280,1,82,5
25255,1,32,5
4232,1,159,3
86585,1,29,1
94019,1,122,3
3191,1,121,4
26974,1,40,3
81568,1,83,3
31742,1,205,3
4165,1,145,2
81463,1,126,2
3234,1,114,5
5233,1,125,3
3246,1,132,4
933,1,155,2
82444,1,231,1
3248,1,74,1
4177,1,174,5
5141,1,120,1
31856,1,234,4
3059,1,228,5
82786,1,204,5
27235,1,133,4
4919,1,140,1
27216,1,270,5
4963,1,225,2
83307,1,3,4
4839,1,229,4
30479,1,256,4
4974,1,235,5
96699,1,152,5
32236,1,1,5
32151,1,99,3
25721,1,141,3
84793,1,207,5
32015,1,147,3
4411,1,80,4
85377,1,244,2
3049,1,92,3
27949,1,239,4
85557,1,19,5
31991,1,105,2
3260,1,134,4
4070,1,260,1
5260,1,215,3
92487,1,172,5
28430,1,194,4
4001,1,27,2
3733,1,31,3
99073,1,94,2
2328,1,64,5
88893,1,88,4
3431,1,221,5
88262,1,52,4
3909,1,177,5
5773,1,76,4
25138,1,269,5
92049,1,28,4
89876,1,13,5
5682,1,49,3
3836,1,70,3
972,1,117,3
3888,1,60,5
88259,1,111,5
5716,1,206,4
88021,1,15,5
3710,1,84,4
26687,1,211,3
87831,1,18,4
31376,1,93,5
87967,1,59,5
3358,1,98,4
5533,1,6,5
5555,1,104,1
31243,1,220,3
78817,1,216,5
3377,1,186,4
31650,1,8,1
9201,2,303,4
12150,2,316,5
52964,2,237,4
20534,2,282,4
11989,2,257,4
38564,2,273,4
700,2,292,4
20376,2,277,4
54744,2,300,4
43627,2,255,4
48138,2,274,3
59823,2,285,5
36334,2,309,1
55790,2,100,5
13440,2,315,1
10683,2,307,3
37408,2,25,4
59514,2,127,5
37026,2,306,4
21902,2,258,3
31688,2,291,3
88190,2,275,5
3425,2,314,1
21631,2,111,4
9980,2,308,3
35981,2,310,4
85606,2,286,4
39562,2,10,2
22582,2,295,4
26184,2,1,4
95677,2,302,5
35337,2,294,1
42959,2,311,5
25334,2,276,4
924,2,251,5
25216,2,283,5
43447,2,269,4
77906,2,288,3
34025,2,293,4
5063,2,297,4
17425,2,19,3
73282,2,304,4
46011,2,284,4
16596,2,299,4
16823,2,298,3
7973,2,13,4
97619,2,296,3
1052,2,50,5
16025,2,301,4
27695,2,305,3
69977,2,289,3
8253,2,280,3
16230,2,279,4
16198,2,313,5
29723,2,287,3
28341,2,14,4
24012,2,242,5
6310,2,312,3
76004,2,272,5
5324,2,290,3
76183,2,278,3
7519,2,281,3
7110,3,334,3
6178,3,328,5
40899,3,352,2
26927,3,268,3
1257,3,335,1
1343,3,245,1
7287,3,350,3
49801,3,326,2
24412,3,321,5
53950,3,325,1
77245,3,336,1
32672,3,339,3
37734,3,302,2
10869,3,324,2
37462,3,338,2
51966,3,319,2
29583,3,320,5
11227,3,348,4
2523,3,343,3
37188,3,181,4
15962,3,354,3
10568,3,299,3
33981,3,342,4
11234,3,351,3
24716,3,260,4
92178,3,340,5
3840,3,331,4
14654,3,307,3
31937,3,258,2
9900,3,345,3
34629,3,303,3
65959,3,347,5
5897,3,332,1
4419,3,294,2
27975,3,355,3
12095,3,330,2
9472,3,300,2
96761,3,346,5
38670,3,322,3
9021,3,318,4
35264,3,317,2
35195,3,329,4
41910,3,271,3
8263,3,341,1
48447,3,344,4
18385,3,264,2
14381,3,327,4
18651,3,349,3
15455,3,272,2
1682,3,337,1
46486,3,333,2
3758,3,323,2
85726,3,353,1
27361,3,288,2
68273,4,359,5
76722,4,358,2
12151,4,294,5
51203,4,327,5
64091,4,324,5
24519,4,328,3
24866,4,210,3
1250,4,264,3
35313,4,329,5
18930,4,354,5
5960,4,356,3
2526,4,357,4
2204,4,361,5
3277,4,260,4
20383,4,300,5
71055,4,362,5
48826,4,11,4
13893,4,288,4
1329,4,303,5
88891,4,301,5
20082,4,271,4
24743,4,258,5
16305,4,50,5
86815,4,360,5
53760,5,450,1
28752,5,50,4
17090,5,428,5
99848,5,174,5
51790,5,386,2
