,user_id,item_id,rating
66567,1,55,1
62820,1,203,1
10207,1,183,1
9971,1,150,1
22496,1,68,1
9811,1,201,0
9722,1,157,1
9692,1,184,1
9566,1,210,1
9382,1,163,1
35409,1,271,0
22669,1,146,1
22845,1,176,1
35389,1,144,1
9307,1,53,0
334,1,160,1
333,1,33,1
9255,1,44,1
9224,1,97,0
9170,1,14,1
62649,1,263,0
62631,1,4,0
1780,1,17,0
820,1,265,1
56881,1,25,1
37820,1,37,0
57256,1,251,1
57423,1,195,1
11080,1,148,0
21152,1,179,0
37810,1,158,0
10922,1,242,1
58377,1,153,0
67079,1,42,1
59055,1,101,0
59972,1,168,1
10520,1,128,1
36878,1,26,0
60926,1,123,1
10508,1,208,1
10480,1,248,1
36844,1,119,1
21947,1,135,1
62069,1,191,1
21626,1,187,1
67098,1,139,0
22971,1,166,1
8976,1,12,1
1989,1,90,1
73972,1,43,1
6649,1,78,0
74577,1,165,1
74847,1,116,0
33909,1,197,1
75385,1,198,1
6567,1,81,1
6541,1,258,1
34026,1,173,1
1167,1,47,1
77073,1,124,1
6234,1,233,0
77238,1,95,1
6212,1,213,0
6028,1,96,1
77630,1,217,0
202,1,61,1
5909,1,185,1
78171,1,58,1
24547,1,63,0
11154,1,112,0
24493,1,30,0
6965,1,212,1
8844,1,262,0
8834,1,108,1
23028,1,138,0
8745,1,259,0
23095,1,247,0
8737,1,209,1
23128,1,89,1
305,1,189,0
8597,1,218,0
73358,1,149,0
23171,1,2,0
70539,1,7,1
7993,1,107,1
34642,1,34,0
34550,1,268,1
7561,1,175,1
34165,1,75,1
7180,1,51,1
7158,1,151,1
7101,1,143,0
70168,1,240,0
78695,1,142,0
20970,1,21,0
56312,1,48,1
15299,1,24,0
15292,1,267,1
15270,1,54,0
42456,1,169,1
14930,1,118,0
47521,1,192,1
47539,1,178,1
47638,1,5,0
14792,1,103,0
17988,1,243,0
47860,1,87,1
48078,1,238,1
48214,1,156,1
14425,1,255,0
41842,1,46,1
18304,1,154,1
18313,1,214,1
14079,1,130,0
14025,1,241,1
17863,1,226,0
17672,1,100,1
687,1,171,1
15638,1,86,1
17220,1,65,1
43859,1,66,1
16922,1,73,0
44074,1,77,1
16673,1,224,1
16590,1,23,1
43438,1,110,0
16455,1,36,0
16314,1,230,1
18695,1,161,1
43280,1,162,1
43263,1,41,0
17297,1,190,1
45483,1,199,1
16053,1,164,0
45732,1,57,1
45796,1,50,1
15932,1,39,1
15764,1,196,1
1440,1,113,1
639,1,202,1
49853,1,106,1
1382,1,253,1
13638,1,129,1
19996,1,170,1
20153,1,38,0
20175,1,9,1
53552,1,127,1
38751,1,257,1
12183,1,252,0
478,1,20,1
38697,1,136,0
54634,1,16,1
12457,1,200,0
12011,1,236,1
20470,1,246,1
11859,1,232,0
11807,1,219,0
55636,1,261,0
11663,1,264,0
38193,1,181,1
56067,1,45,1
1299,1,222,1
11321,1,193,1
55001,1,79,1
20952,1,22,1
12516,1,180,0
19722,1,69,0
40783,1,223,1
50026,1,167,0
50156,1,115,1
40756,1,71,0
1617,1,227,1
18796,1,62,0
13575,1,254,0
13542,1,10,0
40600,1,182,1
39296,1,237,0
50736,1,11,0
40519,1,109,1
13165,1,91,1
51295,1,35,0
13030,1,85,0
51616,1,137,1
19610,1,188,0
19699,1,102,0
12948,1,250,1
39865,1,131,0
50792,1,245,0
5842,1,72,1
17031,1,67,0
24896,1,249,1
3171,1,266,0
4306,1,272,0
4290,1,56,1
4280,1,82,1
25255,1,32,1
4232,1,159,0
86585,1,29,0
94019,1,122,0
3191,1,121,1
26974,1,40,0
81568,1,83,0
31742,1,205,0
4165,1,145,0
81463,1,126,0
3234,1,114,1
5233,1,125,0
3246,1,132,1
933,1,155,0
82444,1,231,0
3248,1,74,0
4177,1,174,1
5141,1,120,0
31856,1,234,1
3059,1,228,1
82786,1,204,1
27235,1,133,1
4919,1,140,0
27216,1,270,1
4963,1,225,0
83307,1,3,1
4839,1,229,1
30479,1,256,1
4974,1,235,1
96699,1,152,1
32236,1,1,1
32151,1,99,0
25721,1,141,0
84793,1,207,1
32015,1,147,0
4411,1,80,1
85377,1,244,0
3049,1,92,0
27949,1,239,1
85557,1,19,1
31991,1,105,0
3260,1,134,1
4070,1,260,0
5260,1,215,0
92487,1,172,1
28430,1,194,1
4001,1,27,0
3733,1,31,0
99073,1,94,0
2328,1,64,1
88893,1,88,1
3431,1,221,1
88262,1,52,1
3909,1,177,1
5773,1,76,1
25138,1,269,1
92049,1,28,1
89876,1,13,1
5682,1,49,0
3836,1,70,0
972,1,117,0
3888,1,60,1
88259,1,111,1
5716,1,206,1
88021,1,15,1
3710,1,84,1
26687,1,211,0
87831,1,18,1
31376,1,93,1
87967,1,59,1
3358,1,98,1
5533,1,6,1
5555,1,104,0
31243,1,220,0
78817,1,216,1
3377,1,186,1
31650,1,8,0
9201,2,303,1
12150,2,316,1
52964,2,237,1
20534,2,282,1
11989,2,257,1
38564,2,273,1
700,2,292,1
20376,2,277,1
54744,2,300,1
43627,2,255,1
48138,2,274,0
59823,2,285,1
36334,2,309,0
55790,2,100,1
13440,2,315,0
10683,2,307,0
37408,2,25,1
59514,2,127,1
37026,2,306,1
21902,2,258,0
31688,2,291,0
88190,2,275,1
3425,2,314,0
21631,2,111,1
9980,2,308,0
35981,2,310,1
85606,2,286,1
39562,2,10,0
22582,2,295,1
26184,2,1,1
95677,2,302,1
35337,2,294,0
42959,2,311,1
25334,2,276,1
924,2,251,1
25216,2,283,1
43447,2,269,1
77906,2,288,0
34025,2,293,1
5063,2,297,1
17425,2,19,0
73282,2,304,1
46011,2,284,1
16596,2,299,1
16823,2,298,0
7973,2,13,1
97619,2,296,0
1052,2,50,1
16025,2,301,1
27695,2,305,0
69977,2,289,0
8253,2,280,0
16230,2,279,1
16198,2,313,1
29723,2,287,0
28341,2,14,1
24012,2,242,1
6310,2,312,0
76004,2,272,1
5324,2,290,0
76183,2,278,0
7519,2,281,0
7110,3,334,0
6178,3,328,1
40899,3,352,0
26927,3,268,0
1257,3,335,0
1343,3,245,0
7287,3,350,0
49801,3,326,0
24412,3,321,1
53950,3,325,0
77245,3,336,0
32672,3,339,0
37734,3,302,0
10869,3,324,0
37462,3,338,0
51966,3,319,0
29583,3,320,1
11227,3,348,1
2523,3,343,0
37188,3,181,1
15962,3,354,0
10568,3,299,0
33981,3,342,1
11234,3,351,0
24716,3,260,1
92178,3,340,1
3840,3,331,1
14654,3,307,0
31937,3,258,0
9900,3,345,0
34629,3,303,0
65959,3,347,1
5897,3,332,0
4419,3,294,0
27975,3,355,0
12095,3,330,0
9472,3,300,0
96761,3,346,1
38670,3,322,0
9021,3,318,1
35264,3,317,0
35195,3,329,1
41910,3,271,0
8263,3,341,0
48447,3,344,1
18385,3,264,0
14381,3,327,1
18651,3,349,0
15455,3,272,0
1682,3,337,0
46486,3,333,0
3758,3,323,0
85726,3,353,0
27361,3,288,0
68273,4,359,1
76722,4,358,0
12151,4,294,1
51203,4,327,1
64091,4,324,1
24519,4,328,0
24866,4,210,0
1250,4,264,0
35313,4,329,1
18930,4,354,1
5960,4,356,0
2526,4,357,1
2204,4,361,1
3277,4,260,1
20383,4,300,1
71055,4,362,1
48826,4,11,1
13893,4,288,1
1329,4,303,1
88891,4,301,1
20082,4,271,1
24743,4,258,1
16305,4,50,1
86815,4,360,1
53760,5,450,0
28752,5,50,1
17090,5,428,1
99848,5,174,1
51790,5,386,0
3554,5,384,0
1333,5,1,1
3537,5,394,0
29030,5,408,1
2318,5,231,0
2314,5,62,1
20026,5,381,0
12852,5,79,0
44294,5,420,0
1094,5,454,0
44225,5,216,0
1482,5,98,0
28363,5,168,0
14558,5,413,0
673,5,439,0
41147,5,396,1
15438,5,80,0
13957,5,243,0
94436,5,375,0
1395,5,363,0
42662,5,398,0
29950,5,416,0
49075,5,250,0
18316,5,435,1
14170,5,185,0
18562,5,214,0
14259,5,393,0
17921,5,410,0
96918,5,368,0
48386,5,447,0
2955,5,423,1
95021,5,373,0
14868,5,400,0
17974,5,369,0
14657,5,89,1
30413,5,162,0
47803,5,387,0
48506,5,228,1
49360,5,145,0
2686,5,24,1
13880,5,144,0
16156,5,219,0
13113,5,418,0
51245,5,409,0
13279,5,429,0
2403,5,377,0
13286,5,385,1
19235,5,391,1
28200,5,456,0
45435,5,438,0
19024,5,209,1
93172,5,419,0
17351,5,259,0
26821,5,101,1
679,5,225,0
26872,5,208,1
13590,5,372,0
18756,5,364,0
17458,5,457,0
15667,5,433,1
2648,5,407,0
30494,5,95,1
42966,5,204,1
13807,5,421,0
19559,5,379,0
28055,5,399,0
4014,5,445,0
26384,5,390,1
4933,5,241,0
8482,5,40,1
69529,5,425,0
8507,5,90,0
8591,5,153,1
25716,5,440,0
69060,5,239,1
4921,5,173,1
82806,5,233,1
8767,5,94,0
8807,5,389,0
8828,5,411,0
83372,5,200,0
9006,5,109,1
23403,5,443,1
38709,5,371,0
32177,5,395,0
25766,5,29,1
9232,5,388,0
4500,5,453,0
4428,5,222,1
84703,5,380,0
84787,5,105,0
22658,5,405,0
35553,5,437,0
4410,5,426,0
22556,5,401,1
9638,5,227,1
35743,5,151,0
22462,5,226,0
4704,5,403,0
22453,5,449,0
70906,5,66,0
71737,5,366,0
922,5,110,0
5872,5,154,0
24815,5,432,1
78404,5,163,1
79199,5,404,0
5703,5,234,0
6103,5,436,1
2026,5,382,1
25197,5,194,1
24616,5,186,1
76173,5,412,0
76171,5,181,1
6422,5,42,1
76042,5,63,0
25655,5,183,1
24567,5,442,0
24533,5,25,0
25237,5,229,0
33730,5,172,1
172,5,2,0
80486,5,383,0
2083,5,376,0
33920,5,414,0
74203,5,367,0
